procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0      0 177824  61656 1779280    0    0     0   160 10814 17919 34 24 42  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0      0 163628  61688 1779300    0    0     0   228 7506 9827 22 12 65  1  0  0
 1  0      0 147576  61688 1779300    0    0     0    44 8893 13008 32 17 50  1  0  0
 3  0      0 163080  61696 1779400    0    0    96    96 10088 17321 34 21 44  0  0  0
 5  0      0 181596  61696 1779400    0    0     0    28 6141 8260 20 10 70  0  0  0
 2  0      0 192536  61712 1779412    0    0     0   180 9765 14007 36 19 43  2  0  0
 7  0      0 163052  61740 1779436    0    0    12   128 7623 10571 30 15 55  1  0  0
 0  0      0 196904  61880 1779484    0    0   172   104 7194 10725 20 12 67  1  0  0
 1  0      0 199648  61896 1779496    0    0     0   268 9272 13920 22 17 60  1  0  0
 3  1      0 171172  61912 1779504    0    0     4   172 8700 13023 17 15 67  2  0  0
 3  0      0 184864  61912 1779508    0    0     0    16 9287 14477 14 11 74  0  0  0
 1  2      0 152884  61932 1779520    0    0     0   324 9592 14667 24 16 53  7  0  0
 7  0      0 149912  61944 1779528    0    0     0    76 8006 11956 17 14 64  6  0  0
 2  0      0 170964  61960 1779536    0    0     0   144 7290 11173 11  9 80  1  0  0
 0  0      0 204864  61960 1779536    0    0     0    36 9051 13520 22 16 61  1  0  0
 2  0      0 166748  61976 1779540    0    0     0   152 8452 12927 22 15 62  1  0  0
 1  0      0 169504  61984 1779548    0    0     0    76 5590 8253  6  7 86  1  0  0
 0  0      0 169904  62000 1779556    0    0     0   164 8778 13531 24 16 60  1  0  0
 2  0      0 172568  62008 1779556    0    0     0    80 10332 16633 21 19 60  1  0  0
 1  0      0 197504  62016 1779564    0    0     0   112 6683 10028  7  8 84  1  0  0
 1  0      0 175832  62032 1779580    0    0     4   124 10749 17030 24 20 55  1  0  0
 2  0      0 174188  62060 1783028    0    0   692   196 8867 14205 27 29 43  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 193340  62060 1783116    0    0     0    24 5480 7668  9 12 79  1  0  0
 1  0      0 181420  62076 1783156    0    0     0   148 9353 15269 24 22 53  1  0  0
 8  0      0 158560  62092 1783172    0    0     0   104 8317 12567 22 17 61  1  0  0
 1  0      0 180688  62120 1783208    0    0     0   344 6209 8535  8 13 76  3  0  0
 0  0      0 175560  62128 1783236    0    0     0   124 9197 13791 23 21 56  1  0  0
 1  0      0 165548  62144 1783240    0    0     8   108 8860 14153 27 21 52  1  0  0
 2  0      0 164808  62144 1783244    0    0     0    64 5772 8093  6 10 83  1  0  0
 0  0      0 172204  62168 1783256    0    0     8   136 9213 15057 27 19 53  1  0  0
 3  0      0 168928  62184 1783268    0    0     0   100 8564 13325 22 18 59  1  0  0
 2  0      0 171468  62200 1783288    0    0     0   132 8509 12564 11 16 73  1  0  0
 0  0      0 186504  62208 1783288    0    0     0   160 8466 13290 21 17 62  1  0  0
