procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 561900  86576 2349048    0    0     0   644 3901 5389  2  2 58 39  0  0
 2  0      0 561900  86576 2349048    0    0     0   320 2695 3766  2  2 96  0  0  0
 5  0      0 549300  86576 2349048    0    0     0     0 3576 4949  5  5 91  0  0  0
 2  5      0 500732  86584 2357168    0    0  8188   152 11197 18001 50 34 13  2  0  0
 1 13      0 536248  86584 2357404    0    0     0    88 9294 11512 37 13  3 47  0  0
 0  0      0 547428  86588 2357448    0    0     0   468 6174 8063 19  9 26 45  0  0
 1  0      0 547836  86588 2357464    0    0     0   360 29726 34623 12 19 67  2  0  0
 0  2      0 547584  86600 2357996    0    0     0  2240 13159 17400  7  8 72 14  0  0
 0  0      0 547888  86600 2358000    0    0     0   516 4557 6404  4  3 63 30  0  0
 0  0      0 550196  86600 2358004    0    0     0   204 4778 7077  4  4 90  3  0  0
 0  0      0 552140  86600 2358008    0    0     0    56 3649 5542  3  3 94  1  0  0
 0  0      0 555992  86604 2358008    0    0     0   152 4974 7437  3  3 91  2  0  0
 0  0      0 547144  86608 2364968    0    0     0  6712 3611 4540  8  6 85  1  0  0
 3  0      0 518976  86612 2349784    0    0    44   652 11461 15706 56 18 24  3  0  0
 3  0      0 453456  86612 2349852    0    0     0   148 15548 24835 60 14 25  1  0  0
 4  0      0 378164  86612 2349864    0    0     0   184 13054 19504 72 12 15  2  0  0
 6  0      0 244780  86612 2349872    0    0     0   212 12944 17798 69 18 12  1  0  0
 4  0      0 244780  86612 2349880    0    0     0   136 18770 30448 54 15 30  1  0  0
10  0      0 227644  86612 2349888    0    0    24   272 29439 51748 55 20 24  1  0  0
 5  0      0 188416  86620 2350064    0    0     0   480 9127 11349 71 25  3  1  0  0
 4  0      0 200524  86620 2350308    0    0     0   416 7898 8772 85 14  1  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0      0 191316  86628 2350352    0    0     0   576 9271 11673 83 14  2  2  0  0
 3  1      0 194444  86648 2350416    0    0     0   864 7865 7166 87 10  1  1  0  0
 3  1      0 193908  86692 2350716    0    0     0  2340 10919 12861 75 16  6  3  0  0
 4  1      0 153736  86724 2350948    0    0     4  2072 10100 11910 68 11 10 11  0  0
 9  2      0 140168  86820 2351408    0    0     0  2412 12719 18501 46 18 18 19  0  0
 3  0      0 132284  86836 2352260    0    0     0   428 6858 9320 16 15 68  0  0  0
 4  0      0 124472  86844 2354156    0    0     0   340 6317 8622 12 11 76  1  0  0
 6  2      0 125144  86852 2355156    0    0     0  1272 7556 10048 14 11 69  6  0  0
 2  0      0 189828  86836 2288120    0    0     0  1436 7668 9876 17  8 56 19  0  0
 4  0      0 188668  86840 2285600    0    0     0   164 5372 7796 12  7 80  1  0  0
 1  0      0 177600  86844 2286944    0    0    32   132 9176 13493 20 16 63  1  0  0
 2  0      0 171072  86852 2288572    0    0     0   136 6510 8770 15  8 75  2  0  0
 1  0      0 166788  86852 2289896    0    0     0    56 5612 7535 15  7 77  1  0  0
 1  0      0 165780  86856 2290360    0    0     0   148 6565 9405 10 10 79  2  0  0
 4  0      0 165276  86860 2291256    0    0     0    96 6868 10059  8 12 80  0  0  0
 2  0      0 164772  86864 2292228    0    0     0   128 7214 10569 10 11 78  1  0  0
 1  0      0 164268  86864 2292788    0    0     0    32 5610 7776 13  7 80  0  0  0
 1  0      0 205040  86876 2285492    0    0     0   248 7534 9535  8 14 53 25  0  0
 1  1      0 188916  86884 2287524    0    0     0   412 5499 8112 12  9 71  7  0  0
 2  2      0 187656  86884 2288760    0    0     0   136 5897 8122 11  8 62 19  0  0
 1  0      0 176316  86884 2290424    0    0     0   180 9138 13447 16 12 65  7  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0      0 167496  86884 2291568    0    0     0    36 4768 6358 14  4 80  1  0  0
 2  0      0 167948  86884 2292000    0    0     0   116 6674 9656 11 12 76  1  0  0
 1  0      0 162604  86884 2292400    0    0     0   136 8044 11781 10 12 76  2  0  0
 3  0      0 160588  86900 2292956    0    0     0   368 8116 11643 14 12 70  5  0  0
 2  0      0 159404  86900 2293280    0    0     0   172 6029 8532 13  7 78  3  0  0
 1  0      0 159428  86908 2294020    0    0     0   436 7873 11360 12 14 71  3  0  0
 1  0      0 197228  86908 2286556    0    0     0   164 7526 10379 10 12 77  2  0  0
 1  0      0 196472  86908 2286556    0    0     0    52 7047 8104  6 17 76  1  0  0
 2  0      0 199572  86912 2219308    0    0     0   152 5516 7819 10 12 77  2  0  0
 0  0      0 219912  86912 2221832    0    0     0    60 9547 16522 29 15 55  1  0  0
 1  0      0 216864  86924 2224228    0    0     0   184 5742 8726 15  6 77  2  0  0
 1  1      0 194128  86924 2226124    0    0     0    96 6029 10900 14  7 77  2  0  0
 2  0      0 193180  86928 2228764    0    0     0   132 5222 9407 13  6 79  2  0  0
 2  0      0 188140  86932 2231212    0    0     0   108 5768 10233 16  8 75  1  0  0
 1  0      0 180056  86932 2233636    0    0     0    64 5437 8329 14  7 78  1  0  0
 1  0      0 190924  86932 2236384    0    0     0    72 5154 8158 14  6 78  1  0  0
 2  0      0 192876  86932 2238016    0    0     0   784 6453 11874 13  8 77  2  0  0
 1  1      0 188100  86932 2239908    0    0     0     4 5185 9291 13  7 64 16  0  0
 1  1      0 179940  86932 2242500    0    0     0    84 4386 6742 14  4 53 29  0  0
 1  2      0 176736  86932 2245212    0    0     0    88 8488 15855 16 12 65  8  0  0
 0  0      0 172820  86936 2246648    0    0     0   132 5690 12609 12  8 64 16  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  1      0 169548  86936 2247532    0    0     0    32 4863 14923  9 11 79  1  0  0
 1  0      0 167632  86936 2248684    0    0     0   192 5720 11306 14  8 76  2  0  0
 3  1      0 165112  86936 2250428    0    0     0   116 6119 13290 12 10 76  1  0  0
 1  0      0 165312  86936 2251488    0    0     0   128 6873 13799 13  8 77  2  0  0
 1  0      0 162100  86936 2252516    0    0     0    24 4557 10842 11  8 81  0  0  0
 9  0      0 159672  86936 2254328    0    0     0   172 6098 10976 14  7 76  4  0  0
 1  0      0 158148  86936 2255416    0    0     0    20 5402 11494 13  9 78  0  0  0
 0  0      0 157392  86948 2256836    0    0     0   184 5014 11157 12  7 79  2  0  0
 3  0      0 146592  86948 2256988    0    0     0   368 6909 10427 12 10 74  5  0  0
 0  1      0 146592  86972 2257012    0    0     0   344 7290 10490 15  9 73  4  0  0
 5  1      0 144604  86988 2257044    0    0     0   572 6012 8137 12  9 73  6  0  0
 2  0      0 143400  87036 2257084    0    0     0  1016 7685 10949 12  9 66 13  0  0
 1  0      0 221136  83380 2123816    0    0     0   112 6447 8491 14 13 72  1  0  0
 1  0      0 217412  83384 2123816    0    0     0   168 6213 8171 14  8 75  3  0  0
 3  0      0 206540  83384 2123844    0    0     0    24 5710 7683 14  8 78  1  0  0
 1  0      0 225296  83384 2123868    0    0     0   440 6880 9256 16  9 73  2  0  0
 2  0      0 235156  83388 2123936    0    0     0   180 5572 7160 14  9 77  0  0  0
 1  0      0 234996  83392 2123940    0    0     0   248 6655 8451 15  7 77  1  0  0
 2  0      0 238700  83392 2123940    0    0     0     0 7467 10832 20 10 70  0  0  0
 1  0      0 240468  83404 2123796    0    0     0   272 7618 10707 16  9 72  3  0  0
 2  1      0 239264  83448 2123860    0    0     0  1008 7749 9466  8 13 68 11  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
